label	status	run_ids	returncode	started_at	finished_at	command
eastmoney__income_sq 2004	success	3928ecb8-bae2-4c5a-b631-440af7c88f27	0	2026-06-02T18:16:32.601797+00:00	2026-06-02T18:16:44.046946+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2004
eastmoney__income_sq 2005	success	8b7c5858-ae45-453d-8471-77927d8f1c71	0	2026-06-02T18:16:44.047289+00:00	2026-06-02T18:16:55.199599+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2005
eastmoney__income_sq 2006	success	b2718ab5-5879-4ecc-a8f5-1f6da1da3a2f	0	2026-06-02T18:16:55.200187+00:00	2026-06-02T18:17:06.691573+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2006
eastmoney__income_sq 2007	success	b3fae18d-7458-409a-9996-e184ce57ebce	0	2026-06-02T18:17:06.692189+00:00	2026-06-02T18:17:18.189711+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2007
eastmoney__income_sq 2008	success	0cc80810-5011-4868-862f-a3da240f504d	0	2026-06-02T18:17:18.190317+00:00	2026-06-02T18:17:29.595807+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2008
eastmoney__income_sq 2009	success	821830f2-95a0-4acc-a505-e611a8ccbb72	0	2026-06-02T18:17:29.596439+00:00	2026-06-02T18:17:40.889237+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2009
eastmoney__income_sq 2010	success	6cc981f2-7667-46ef-b9f9-31b88e2dea74	0	2026-06-02T18:17:40.889870+00:00	2026-06-02T18:17:52.617679+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2010
eastmoney__income_sq 2011	success	d65ddf2e-9cf7-481a-9431-ce0a40a0e70e	0	2026-06-02T18:17:52.618001+00:00	2026-06-02T18:18:04.114617+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2011
eastmoney__income_sq 2012	success	1e55d136-4737-4061-a6af-c82fbe9b985a	0	2026-06-02T18:18:04.114928+00:00	2026-06-02T18:18:15.414939+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2012
eastmoney__income_sq 2013	success	297ca214-4ffb-4079-91c9-c70d37de9e90	0	2026-06-02T18:18:15.415843+00:00	2026-06-02T18:18:26.639752+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2013
eastmoney__income_sq 2014	success	32c3b0df-d51a-429c-8c49-cff4071f5957	0	2026-06-02T18:18:26.640356+00:00	2026-06-02T18:18:38.003446+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2014
eastmoney__income_sq 2015	success	3cd07151-6a13-4b5f-9e7d-5d4123f25731	0	2026-06-02T18:18:38.003896+00:00	2026-06-02T18:18:49.508698+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2015
eastmoney__income_sq 2016	success	65d415ce-e571-4e63-bd17-32f55374d176	0	2026-06-02T18:18:49.509310+00:00	2026-06-02T18:19:00.953775+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2016
eastmoney__income_sq 2017	success	1d111587-3dbe-4dbd-a9b5-e61874a2f392	0	2026-06-02T18:19:00.954435+00:00	2026-06-02T18:19:12.610854+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2017
eastmoney__income_sq 2018	success	a48f52cf-b6ec-457f-b34c-88e67de6a029	0	2026-06-02T18:19:12.611208+00:00	2026-06-02T18:19:24.014437+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2018
eastmoney__income_sq 2019	success	5c795679-1677-4efa-9551-955254d304f4	0	2026-06-02T18:19:24.015037+00:00	2026-06-02T18:19:35.589502+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2019
eastmoney__income_sq 2020	success	5a8009ca-5476-42b7-9209-2097c209a543	0	2026-06-02T18:19:35.590126+00:00	2026-06-02T18:19:46.852663+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2020
eastmoney__income_sq 2021	success	fe95628e-f6d1-4aba-a4bf-06587cf1c37a	0	2026-06-02T18:19:46.853251+00:00	2026-06-02T18:19:58.428494+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2021
eastmoney__income_sq 2022	success	c04534f3-78a2-4476-b83a-855f1a61bc88	0	2026-06-02T18:19:58.428809+00:00	2026-06-02T18:20:10.265358+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2022
eastmoney__income_sq 2023	success	caf13e26-f2ba-4bfd-828a-13a7685e278a	0	2026-06-02T18:20:10.265863+00:00	2026-06-02T18:20:21.824106+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2023
eastmoney__income_sq 2024	success	5f22312c-798f-4dc3-a5c2-3bb323750aed	0	2026-06-02T18:20:21.824479+00:00	2026-06-02T18:20:33.303825+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2024
eastmoney__income_sq 2025	success	2ff7d180-404c-4de1-ae4a-9597fcc248ce	0	2026-06-02T18:20:33.304448+00:00	2026-06-02T18:20:45.219797+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2025
eastmoney__income_sq 2026	success	da92345b-b9e8-403e-9f2f-feaa54133c3d	0	2026-06-02T18:20:45.220425+00:00	2026-06-02T18:20:56.714774+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_sq --partition 2026
eastmoney__income_ytd 1990	success	cb88bc70-9b68-405f-9335-98153ba683c5	0	2026-06-02T18:20:56.715034+00:00	2026-06-02T18:21:07.715999+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1990
eastmoney__income_ytd 1991	success	2c2c5a4d-7d5d-47cd-a8d3-31c2c31a4e73	0	2026-06-02T18:21:07.716625+00:00	2026-06-02T18:21:18.973413+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1991
eastmoney__income_ytd 1992	success	436e5f15-a428-4198-b6b4-5f5dac2e9301	0	2026-06-02T18:21:18.974012+00:00	2026-06-02T18:21:29.918399+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1992
eastmoney__income_ytd 1993	success	f564bcae-8818-45a6-8be4-77d5a567d219	0	2026-06-02T18:21:29.918715+00:00	2026-06-02T18:21:40.747001+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1993
eastmoney__income_ytd 1994	success	655c0e6a-473e-4681-883c-ef3fc00dc280	0	2026-06-02T18:21:40.747639+00:00	2026-06-02T18:21:51.903963+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1994
eastmoney__income_ytd 1995	success	7c663df3-94b2-4f39-83eb-9ed4fd15533f	0	2026-06-02T18:21:51.904578+00:00	2026-06-02T18:22:02.977363+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1995
eastmoney__income_ytd 1996	success	050b8d26-79db-4f4c-8fda-0b4ba4b182e0	0	2026-06-02T18:22:02.977972+00:00	2026-06-02T18:22:13.886848+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1996
eastmoney__income_ytd 1997	success	64ec0cb6-0b71-4f95-a810-19e930e8defe	0	2026-06-02T18:22:13.887509+00:00	2026-06-02T18:22:25.069185+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1997
eastmoney__income_ytd 1998	success	36e4c712-e9f7-4bc6-b096-558ac615ef0a	0	2026-06-02T18:22:25.069809+00:00	2026-06-02T18:22:36.208176+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1998
eastmoney__income_ytd 1999	success	ca8519f9-51f4-45ce-ae9a-0274ee9e716b	0	2026-06-02T18:22:36.208809+00:00	2026-06-02T18:22:47.195491+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__income_ytd --partition 1999
